text,target
"Спасибі розетки за якісний товар і всім операторам за проводку даного замовлення. Купував LG 47LM640T. Товар прийшов під час. Телевізор прийшов чистий без слідів використання, всі пломби були на місці, комплектація не порушена, на складі без суєти повністю показали товар. Будинки під час перевірки все працювало нормально. Були невеликі засвітки по краях але тільки в на абсолютно затемненому екрані - з'являються рідко і абсолютно не напружують (у багатьох TV є такі нюанси) Вообщем покупка абсолютно виправдала всі надії не кажучи вже про домашній кінотеатр і бонусної картці від Oll.tv в подарунок. Всіх благ цього магазину і його персоналу. ВЕЛИКЕ ЛЮДСЬКИЙ СПАСИБІ ...
                        Розгорнутим
                        згорнути",positive
"Замовив 8 листопада крокси, прийшли швидко, вирішив не перевіряти, тому що багато разів замовляв все завжди було ОК, але тут пішло поїхало, прийшовши додому я виявив що розмір кроксів 43-44, я замовляв 41-42, знайшов як повернути назад на сайті , мЕНІ ДОВЕЛОСЯ ЗАПЛАТИТИ ЗА доствка 65 ГРИВЕНЬ! За те що вони схибили, я повинен платити. І що Ви думали, другий раз мені прислали розмір 42-43, на цей раз відразу на пошту відмовився, ось цікаво який розмір надішлють на 3й раз .... це нонсенс, не можуть надіслати розмір який вказаний в замовленні.
                        Розгорнутим
                        згорнути",negative
"Замовила ноутбук, в четверню, сказали що доставка можлива на суботу. У суботу подзвонили сказали що доставити не можуть, перенесли на неділю. У підсумку 2 дні сиділи і чекали доставку, але її не було і в неділю. Навіть не подзвонили попередити що для надсилання Не будет !!!! Я подзвонила їм сама, все товариші в кол центрі могли відповісти тільки так: «я не знаю, я не володію інформацією». Товар так і не був доставлений, в порожню витрачений час і нерви. Причини по якій товар так і не був доставлений мені так і не пояснили. Розгорнутим згорнути",negative
"Дуже незадоволений інтернет магазином розетка і його послугами. Почнемо з того, що місяць назад я купив цей ноутбук на розетці, але так сталося, що у мене не було часу його протестувати так як я студент та ще й на бюджеті, а саме тоді нас завантажили на тижні три якщо не менше. Тиждень тому я вирішив таки протестувати його. До слова, це другий мій делл з цього сайту, попередній був точно такий же і мав ті ж проблеми. Значить проблеми. Перша - це його постійне дзижчання і скрипіння жорсткого диска, яке часом змушує нервувати і це в просте. Друга - проблеми з відеокартою, точніше з драйверами, які не визначають відеокарту, вони просто визначають її як radeon r5 m330, що ні m430, як повинно бути. Після багатьох звернень мені таки вдалося отримати відповідь, що проблема вирішується оновленням биос, що є досить складною і небезпечною штукою, бо може накрити весь ноутбук. Третя проблема пояснює першу - наявність помилок і пошкоджень жорсткого диска, які били виявлені не однією програмою. Четверта - погана збірка, бо в іграх процесор навантажений на 100 відсотків, при чому відеокарта простоює, не отримуючи завдань від процесора і навантажується але лише на 60% (має бувальщина навпаки).
Тому звертаюся до розетки, поверніть гроші, бо це вже другий бракований ноутбук. Я краще скажу трохи і куплю ноутбук краще на вашому ж сайті (третій :-() з надією, що він буде нормальний. Сподіваюся на розуміння, чи піду коментувати далі, поки не восстаржествует справедливість.
                        Розгорнутим
                        згорнути",negative
"На високому рівні організована робота Call-центру. Оператори дуже ввічливі, знають відповіді на будь-які питання, дуже швидко відбувається з'єднання з вільним оператором.
Сервісний відділ поруч з магазином, в одному приміщенні, це дуже зручно.
Купив відеореєстратор, він мені, на жаль, не підійшов. Звернувся в магазин для повернення цього товару. Перевірили в сервісному центрі і прийняли без будь-яких надуманих бюрократичних процедур в день звернення, за що їм дуже вдячний.
Це вигідно відрізняє Розетку від багатьох її конкурентів, які передають товар в сервісні центри і там місяцями його ""перевіряють"".
Обов'язково куплю іншу модель саме в цьому магазині.
                        Розгорнутим
                        згорнути",positive
"Доброго дня. Знайомому на день народження вирішив подарувати SSD вінчестер. Оскільки святкувати будемо в четвер з ранку 22,06. Замовив подарунок заздалегідь на цьому &quot;Стулісе&quot; Зробив замовлення в суботу 17.06. Моє замовлення переносили з доставкою кожен день. В результаті вже Середа обід, І мені може бути завтра доставлять. Куди доставите? Завтра мене вже не буде в Києві! За 5 днів так і не отримав свій товар. Замовив на іншому сайті (на жаль не можу його вказати), і мені привезли мій товар в цілості й схоронності через 2 години. Дві години! А у &quot;Стилус&quot; пішло 5 днів і то не змогли! Нікому не рекомендую цей магазин. Сподіваюся мій відгук комусь допоможе. Спасибі. Розгорнутим згорнути",negative
"Я, мабуть, один із тих ""везунчиків""  які попали на некомплектність вузлового товару-душевого боксу.  Переплутали частини чи то стіни чи піддон, не відомо. Після тижня розборок, нарешті його забрали, при цьому спершу я мав сам! його привести до них(вони напартачили, а клієнт має везти до них і просить шоб забрали?).  Тепер чекаю не зрозуміло чого, сказали від 3днів до 2 тижнів! .. 
Що маємо в результаті : 
- ніяка робота сервісної служби. 
- втрачено вже 10днів і скільки ще чекати не зрозуміло, а я зараз без ванни і душа впринципі! 
- акт забору товару порадував окремо - жодної печатки, просто типовий папірець ніачом. 
-нерви, час і гроші які ніхто, а особливо розетка, ніколи не поверне. 
І ніхто не застрахований від цього, томущо на коробках написано все вірно, і невідповідність видно, лише при збірці товару.. 
Моє відношення до магазину - негативне. Магазин такого рівня має працювати не так, я розчарований.
                        розгорнути
                        згорнути ",negative
"співробітники колл-центру, як би м&#39;яко сказати, не компетентний! замовив цей ноут, передзвонила менеджер, задав 2 простих питання: новий чи ноут, не відновлено чи? точно варто Windows 10 Home? в загальному попросила час на уточнення інформації, передзвонила, каже, що ноут з демо версією Windows 10, що це, пояснити не змогла, подумав, що добре, на оф сайті говориться, що повинна 10ка домашня стояти, перевірю, і сказала, що ноут новий. також оповістила, що термінал не працює з технічних причин! ну ок, пішов зняв всю суму в банку, 40хвилин простояв в черзі. приходжу за ноутом, а мені виносять ноут в коробці, - брудна, порвана, купа наклейок! на питання, що з коробкою, мені відповіли, що він же відновлений! і повинні були сказати при дзвінку оператора! ноут навіть не роздруковував! якщо я плачу такі гроші, то на ноут не те що плівка повинна бути! як висновок: - витратив купу часу, щоб до них дістатися - простояв у банку, щоб зняти гроші - термінал не працює - не компетентні персонал колл-центру - ніколи не замовляв в цьому магазині товари і не буду! що і всім рекомендую! окреме спасибі хлопцю, який на видачу товару, що не промовчав, сказав правду! Розгорнутим згорнути",negative
"Зробив сьогодні два замовлення на самовивезення по вулиці Січових стрільців, в результаті передзвонили і сказали що замовлення потрібно забирати по вулиці Васильківська. Оператора запитав навіщо мені їхати туди куди я товар не замовляв, відповідь &quot;ми не возимо тепер дрібну побутову техніку на адресу який ви вказали.&quot; Даремно витратив час. Якщо ви щось кудись не возите інформуйте людей відразу і не давайте можливість купуючи даний товар вказувати місце самовивозу поткоторому його забрати неможливо. У підсумку набрав на гарячу лінію у відповідь та ж історія! 99% магазинів в момент запропонували б доставку безкоштовно з будь-якого зручного для клієнта адресою, але не тут то було! У підсумку я від такого обслуговування відмовився! Сам більше ні ногою до вас, хоча неодноразово раніше робив у вас покупки, і всім своїм знайомим пораджу обходити вас десятою дорогою! Розгорнутим згорнути",negative
"11.11.2016 Купив телефон в ТРЦ &quot;Глобус&quot;. Працюю в центрі і простіше було прийти в магазин самому. Уже в магазині зрозумів, що це було даремно - черга величезна. Вибрав телефон швидко, консультант все чітко розповів, провів до каси і стали чекати ... хв 40. Але хлопці (консультанти) розважали мене і стоять в черзі як могли, і про мій телефон все що знали розповіли, і про товари покупців в черзі і просто поговорили. Додати б працівників на касу і норм все буде. Шукав саме міжнародну версію і вибрав в Цитрусі. Оновив по &quot;повітрю&quot;, все без помилок. По телефону претензія ток одна - невелике поскрипування у верхній частині при натисканні на корпус, не впевнений проблема в збірці або може датчик відбитка пальців грає. Заради інтересу перевірив старі телефони і один (LG L65) видав такий же звук, але він в чохлі весь час і не помічав навіть. Не буду перераховувати всі плюси - вже сто разів писали, і все по справі. Телефон відмінний. Всім хто сумнівається - не сумнівайтеся) Розгорнутим згорнути",positive
"Останнім часом трохи подорожчала розетка. Мелочевку різну знаходжу де подешевше. Але з серйозними покупками не ризикую, купую тут і всім рекомендую. Розбив недавно варильну поверхню на кухні. Вибрав, замовив, забрав - все швидко, оперативно і вчасно. Привіз додому, відкрив ... У описі на сайті була функція таймер, а в натурі її немає. Передзвонив, повідомив. Думав будуть мучити. Ні, привіз, взяли, повернули гроші без проблем (не дивлячись на те, що коли відкривав пошкодив упаковку). Порадили іншу модель, де точно є таймер. Звичайно ж купив у них.
                        Розгорнутим
                        згорнути",positive
"Не думав, що доведеться займатися написанням гнівного відкликання. 18.10.16 замовив айфон 6 плюс 128Гб в цьому магазині, заявку прийняли, обіцяли передзвонити. Тиша. Дзвоню сам - нібито замовлення скасований, тому що товару немає в наявності (на сайті висить досі). Пропонують купити айфон 6 на 64Гб - ок, домовилися, доставка на 21.10. (Час &quot;Ч&quot; - телефон на подарунок, при цьому 2 рази уточнив у менеджера з приводу наявності та заявленої ціни). 21.10.16 дзвонить менеджер &quot;STYLUS&quot; на ім&#39;я Валентин (внутрішній №112 з його слів) і ставить перед фактом - даних моделей взагалі немає в наявності (на сайті є !!!), але є телефон, залоченний під якогось там оператора , і відповідно намагається мені його продати !!. Попросив зв&#39;язати мене з топ-менджерів магазину, з&#39;ясувалося, що це неможливо? !!))))))))) Дуже шкода витраченого часу, в залишку - море негативу і розчарування в наданому сервісі, тому що колись вважав &quot;STYLUS&quot; досить непоганим магазином. Розгорнутим згорнути",negative
"Оформила покупку планшета galaxy Tab S4 в кредит від Альфабанка, зазначено, що до 5 місяців без відсотків. Ціна на сайті була 21841 грн. На наступний день менеджер від Альфа прийшов додому, підписали договір, сказали, що додатково стягується страховка 1200 грн. Я погодилася, пожпісала договір, менеджер сказала, що гроші надійдуть завтра до 16:00 (це 11.10.18 четверг) после 16:00 товар доставлять. У четвер после 16:00 дзвоню в магазин, говопят грошей немає, дзвоню в банк говорять гроші пішли, заходжу в мобільний додаток висить кредит 26075 (тобто ще 3000 грн незрозуміло звідки). Дзвоню в магазин знову говорять гроші є, менеджер зв&#39;яжеться завтра (п&#39;ятниця 12.10.18). Намтупает п&#39;ятницю вранці дзвоню, кажуть чекайте, пеіезванівают після обіду, кажуть товару немає в наявності потрібно чекати 10 робочих днів і нібито на сайті це зазначено, я зробила скріншот на сайті написано &quot;в наявності&quot;, а кредит вже оплачений !!!! Я кажу, що мені не підходить, повертайте гроші банку. Сьогодні вівторка (15.10.18), гроші не повернулися, кажуть чекайте, відсотки вважаються, кредит висить. КОРОЧЕ НЕ КУПУЙТЕ ТУТ В КРЕДИТ ВІД АЛЬФА-БАНКУ !!! Розгорнутим згорнути",negative
"Був приємно здивований рівнем обслуговування магазину і швидкістю (в передноворічні дні отримання замовлення зайняло 10 хвилин). Є пара нюансів, але куди без них:
1. У відповідь на моє замовлення мені передзвонили цілих 3 (три) менеджера, хоча замовлення оформив найперший передзвонити.
2. В салоні, де відбувається видача товару варто зробити покажчики з номерами кроків, наприклад: 1) Пройдіть на ресепшн і повідомте номер замовлення; 2) Слідкуйте за вказівками на талоні; 3) Оплатіть замовлення; 4) Отримайте товар. Просто салон великий і людей багато - заходячи - губишся.
                        Розгорнутим
                        згорнути",positive
